Title,PublishedAt,Description,URL
"Share Market Highlights July 19, 2024: Sensex, Nifty slide as investors book profits after record-breaking rally",2024-07-19 01:05:09+00:00,"Sensex, Nifty updates on 19 July 2024. - Equity benchmark indices Sensex and Nifty tumbled on Friday as investors booked profits following a four-day record-breaking rally and weak global market trends. The 30-share BSE Sensex hit a new all-time high of 81,58…",https://www.thehindubusinessline.com/markets/stock-market-highlights-19-july-2024/article68418281.ece
Capital Goods stocks slide,2024-07-18 08:30:00+00:00,"Capital Goods stocks were trading with losses, with the BSE Capital Goods index decreasing  1236.17 points or 1.66% at 73223.89 at 13:46 IST.",https://www.business-standard.com/markets/capital-market-news/capital-goods-stocks-slide-124071800568_1.html
BEL shares down 3.23% as Nifty gains,2024-07-18 08:25:27+00:00,The stock quoted a 52-week high price of Rs 340.35 and low of Rs 123.55.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/bel-shares-down-3-23-as-nifty-gains/articleshow/111831725.cms
"Q1 results today: 45 companies including Infosys, JSW Infrastructure to declare earnings on July 18",2024-07-18 01:45:17+00:00,"Q1 results today: 45 companies are expected to announce quarterly results on July 18. India’s second-largest IT company, is likely to report a consolidated net profit between 3-6 per cent for the April-June quarter of 2024.",https://www.livemint.com/companies/company-results/q1-results-today-45-companies-including-infosys-jsw-infrastructure-to-declare-earnings-on-july-18-11721266030361.html
Aatmanirbharta in defence: MoD notifies fifth Positive Indigenisation List of 346 items for DPSUs,2024-07-17 02:23:32+00:00,"In a major boost to Aatmanirbharta in defence & minimise imports by Defence Public Sector Undertakings (DPSUs), Department of Defence Production (DDP), Ministry of Defence has notified the fifth Positive Indigenisation List (PIL) consisting of 346 items",https://www.globalsecurity.org/wmd/library/news/india/2024/india-240716-india-pib02.htm
Government is committed to capacity building of PSUs: Raksha Rajya Mantri Shri Sanjay Seth,2024-07-17 02:23:09+00:00,Raksha Rajya Mantri Shri Sanjay Seth has reiterated the Government's commitment to ensure capacity building of Public Sector Undertakings (PSUs) by providing all required support and handholding,https://www.globalsecurity.org/wmd/library/news/india/2024/india-240716-india-pib01.htm
"Scindia meets with telecom sector bosses, upholds consumer interests in sectoral growth",2024-07-16 14:52:00+00:00,"The top carriers' meeting with the minister was one of the six stakeholder committee meetings in two days, which were focused on facilitating a two-way dialogue with the government on critical matters",https://www.livemint.com/industry/scindia-meets-with-telecom-sector-bosses-upholds-consumer-interests-in-sectoral-growth-11721138158545.html
"Telecom minister Scindia brainstorms with Ambani, Mittal, others to chart telecom growth roadmap",2024-07-16 13:51:32+00:00,"Scindia during the meeting deliberated on fostering growth of the telecom sector in a collaborative manner while maintaining the interest of consumers and the nation. ""We have identified a rather deep agenda for these committees. Now the members of these comm…",https://economictimes.indiatimes.com/industry/telecom/telecom-news/telecom-minister-scindia-brainstorms-with-ambani-mittal-others-to-chart-telecom-growth-roadmap/articleshow/111787759.cms
"346 more defence items with import substitution value of ₹1,048 crore taken off list",2024-07-16 13:23:47+00:00,"Over 12,300 items indigenised in last three years have helped the DPSUs to place orders worth ₹7,572 crore to domestic vendors, says MoD",https://www.thehindubusinessline.com/economy/logistics/346-more-defence-items-with-import-substitution-value-of-1048-crore-taken-off-list/article68410197.ece
"346 more defence items with import substitution value of ₹1,048 crore taken off list",2024-07-16 13:23:47+00:00,"Over 12,300 items indigenised in last three years have helped the DPSUs to place orders worth ₹7,572 crore to domestic vendors, says MoD",https://www.thehindubusinessline.com/news/346-more-defence-items-with-import-substitution-value-of-1048-crore-taken-off-list/article68410197.ece
Groww files paper to launch Nifty India Defence ETF,2024-07-16 13:23:18+00:00,Nifty India Defence ETF targets to generate long-term capital growth by investing in securities of the Nifty India Defence Index,https://www.thehindubusinessline.com/markets/groww-files-paper-to-launch-nifty-india-defence-etf/article68410475.ece
Groww files paper to launch Nifty India Defence ETF,2024-07-16 13:23:18+00:00,Nifty India Defence ETF targets to generate long-term capital growth by investing in securities of the Nifty India Defence Index,https://www.thehindubusinessline.com/news/groww-files-paper-to-launch-nifty-india-defence-etf/article68410475.ece
Minister Scindia Meets Leading Industrialists On Telecom Growth Map,2024-07-16 12:59:55+00:00,This was the first meeting of telecom sector leaders with the minister under the third term of the NDA government led by Prime Minister Narendra Modi.,https://www.ndtv.com/india-news/union-minister-jyotiraditya-scindia-holds-brainstorming-session-with-leading-industrialists-to-chart-telecom-growth-map-6119006
Telecom ministry to work on actionable plan on identified issues: Scindia,2024-07-16 11:55:58+00:00,"The telecom ministry will work on actionable plan with defined timelines on issues that have been discussed with telecom operators and other players in the sector, Union minister Jyotiraditya Scindia said on Tuesday.",https://www.business-standard.com/industry/news/telecom-ministry-to-work-on-actionable-plan-on-identified-issues-scindia-124071600697_1.html
Budget 2024: इन तीन स्टॉक्स पर दांव लगाने से बजट के दिन हो सकती है अच्छी कमाई,2024-07-16 11:41:57+00:00,"यूनियन बजट पेश होने में एक हफ्ते से कम समय रह गया है। वित्तमंत्री निर्मला सीतारमण 23 जुलाई को बजट पेश करेंगी। यह बजट ऐसे समय आ रहा है, जब स्टॉक मार्केट के प्रमुख सूचकांक रिकॉर्ड ऊंचाई पर हैं। पिछले कई हफ्तों से स्टॉक मार्केट में तेजी जारी है। एक्सपर्ट्स का कह…",https://hindi.moneycontrol.com/news/business/budget/budget-2024-positions-in-these-three-stocks-may-bring-you-handsome-return-1913166.html
"India Smart Cities Market Report 2024-2030: Value, Analysis, Growth, Share, Forecasts, Industry Trends, Companies & Revenue",2024-07-16 11:18:00+00:00,"Dublin, July 16, 2024 (GLOBE NEWSWIRE) -- The ""India Smart Cities Market 2024-2030: Value, Analysis, Growth, Share, Forecast, Industry, Trends, Size, Companies & Revenue: Market Forecast by Components, Applications and Competitive Landscape"" report has been a…",https://www.globenewswire.com/news-release/2024/07/16/2913625/28124/en/India-Smart-Cities-Market-Report-2024-2030-Value-Analysis-Growth-Share-Forecasts-Industry-Trends-Companies-Revenue.html
Telecom ministry to work on actionable plan on issues identified by panels: Jyotiraditya Scindia,2024-07-16 10:22:15+00:00,"Union minister Jyotiraditya Scindia announced the telecom ministry's commitment to addressing industry issues with a detailed action plan and set timelines during discussions with major telecom operators, including top executives from Reliance Jio, Bharti Air…",https://economictimes.indiatimes.com/industry/telecom/telecom-ministry-to-work-on-actionable-plan-on-issues-identified-by-panels-scindia/articleshow/111782012.cms
Capital Goods shares fall,2024-07-16 08:30:00+00:00,"Capital Goods stocks were trading in the negative zone, with the BSE Capital Goods index falling 277.41 points or 0.37% at 74582.39 at 13:47 IST.",https://www.business-standard.com/markets/capital-market-news/capital-goods-shares-fall-124071600583_1.html
Defence Ministry announces fifth Positive Indigenisation List of 346 items to be procured domestically,2024-07-16 08:19:48+00:00,"According to a press release by the Ministry of Defence, this latest list comprises 346 strategically important items, including Line Replacement Units, Systems, Sub-systems, Assemblies, Sub-assemblies, Spares, Components, and raw materials. The import substi…",https://economictimes.indiatimes.com/news/defence/defence-ministry-announces-fifth-positive-indigenisation-list-of-346-items-to-be-procured-domestically/articleshow/111777817.cms
Share price of BEL falls as Nifty strengthens,2024-07-16 07:03:25+00:00,"A total of 532,998 shares changed hands on the counter till 12:33PM (IST).",https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-price-of-bel-falls-as-nifty-strengthens/articleshow/111775362.cms
"Share Market Highlights July 16, 2024: Sensex, Nifty range-bound ahead of market holiday; BPCL, Coal India, LIC hold firm",2024-07-16 01:14:23+00:00,"Sensex, Nifty updates on 16th July, 2024: Sensex and Nifty have been on a record-breaking run since Friday as foreign investors have turned buyers in the Indian equities ahead of the presentation of the Union budget for 2024-25. Encouraging quarterly results …",https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-highlights-16-july-2024/article68406514.ece
Union Budget: What lies ahead for Modi's flagship PLI scheme?,2024-07-15 11:59:45+00:00,"As India prepares for Budget 2024, the spotlight is on Production-Linked Incentive (PLI) schemes, crucial for revitalizing manufacturing and strengthening supply chains. The government has raised the PLI allocation to ₹6,200 crore, signaling a 33% increase, u…",https://economictimes.indiatimes.com/news/economy/policy/union-budget-what-lies-ahead-for-modis-flagship-pli-scheme/articleshow/111757446.cms
Systrome Technologies opens ₹100-crore plant in Thiruvananthapuram,2024-07-15 10:21:46+00:00,Systrome Technologies launches advanced electronics manufacturing facility in Thiruvananthapuram to boost innovation and Atma Nirbhar Bharat initiative.,https://www.thehindubusinessline.com/info-tech/systrome-technologies-opens-100-crore-plant-in-thiruvananthapuram/article68406171.ece
Union Budget 2024: Sectors for investors - What can the Budget hold for different sectors,2024-07-15 09:08:43+00:00,"India Budget Announcements: Finance Minister Nirmala Sitharaman is set to present the full Union budget, with investors eager for insights on infrastructure, manufacturing, fiscal discipline, job creation, and social spending. Expectations include a focus on …",https://economictimes.indiatimes.com/news/economy/policy/union-budget-2024-sectors-for-investors-what-can-the-budget-hold-for-different-sectors/articleshow/111751656.cms
"US back-to-school spending to remain muted in 2024, Deloitte says",2024-07-15 04:20:36+00:00,"US back-to-school spending to remain muted in 2024, Deloitte says",https://www.investing.com/news/stock-market-news/us-backtoschool-spending-to-remain-muted-in-2024-deloitte-says-3518325
"US back-to-school spending to remain muted in 2024, Deloitte says",2024-07-15 04:17:32+00:00,"Back-to-school spending this year is expected to be flat or lower in the United States, as shoppers dial down on expensive electronics such as laptops and...",https://www.yahoo.com/news/us-back-school-spending-remain-041732402.html
Budget and stock markets: How Nifty may behave and 50 stock ideas,2024-07-15 04:05:49+00:00,"Sensex and Nifty rose 5% last month, with markets largely flat pre-Budget. Historically, Nifty shows -0.3% pre-Budget and -0.5% post. Post-Budget, Nifty sees 5.7% average gain in one month.",https://economictimes.indiatimes.com/markets/stocks/news/budget-and-stock-markets-how-nifty-may-behave-and-50-stock-ideas/articleshow/111743396.cms
How Budget 2024 can cash in on the PLI scheme to unlock Aatmanirbhar Bharat's manufacturing potential,2024-07-14 08:19:21+00:00,"Budget 2024 Expectations: The PLI scheme promotes manufacturing in 14 sectors, including electronics, textiles, and white goods. Reopened for textiles, white goods, railways, furniture, and toy industries, it aims to reduce imports and modernize production. L…",https://economictimes.indiatimes.com/news/economy/policy/how-budget-2024-can-cash-in-on-the-pli-scheme-to-unlock-aatmanirbhar-bharats-manufacturing-potential/articleshow/111728397.cms
"Mutual funds bet big on HDFC Bank in H1 2024, TCS among top buys in June",2024-07-12 13:53:10+00:00,"Apart from HDFC Bank, the stocks that saw the highest MF buying include Indus Towers, Mphasis, Vedanta, Infosys, and TCS. The total investments in the two IT majors stood at Rs 4,870 crore",https://www.business-standard.com/markets/mutual-fund/mutual-funds-bet-big-on-hdfc-bank-in-h1-2024-tcs-among-top-buys-in-june-124071201000_1.html
Defence manufacturer Bharat Electronics secures export order worth Rs 230 crore,2024-07-12 10:36:32+00:00,Bharat Electronics Limited (BEL) receives a significant export order from Thales Reliance Defence Systems (TRDS) for TR modules used in fighter aircraft radars. BEL also secures additional orders valued at Rs 192 crores. Indian defence manufacturing sector sh…,https://economictimes.indiatimes.com/news/defence/defence-manufacturer-bharat-electronics-secures-export-order-worth-rs-230-crore/articleshow/111687815.cms
Budget 2024: Let’s put money in R&D to make manufacturing roar,2024-07-12 09:26:01+00:00,"Budget 2024: As India aims to become a developed nation by 2047, Finance Minister Nirmala Sitharaman will need to prioritize a significant boost in Research and Development (R&D) during her upcoming Union Budget presentation on July 23. A key challenge for th…",https://economictimes.indiatimes.com/news/economy/policy/budget-2024-lets-put-money-in-rd-to-make-manufacturing-roar/articleshow/111685256.cms
BEL stock price down 0.95 per cent as Sensex climbs,2024-07-12 06:12:01+00:00,"As of 30-Jun-2024, promoters held 51.14 per cent stake in the company, while FIIs held 17.43 per cent and domestic institutional investors had 16.08 per cent.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/bel-stock-price-down-0-95-per-cent-as-sensex-climbs/articleshow/111679753.cms
"Share Market Highlights July 12, 2024: Record highs for Sensex, Nifty as IT sector shines on strong TCS results",2024-07-11 16:10:22+00:00,"Sensex, Nifty updates on July 12, 2024  -- The Indian benchmark indices reached record closing highs on Friday, propelled by a surge in IT stocks following strong quarterly Tata Consultancy Services (TCS) results. The NSE Nifty 50 rose 0.77% to 24,502.15, and…",https://www.thehindubusinessline.com/markets/stock-market-highlights-12-july-2024/article68394124.ece
Three major defence testing facilities to be launched in Uttar Pradesh,2024-07-11 11:26:04+00:00,"Uttar Pradesh is set to enhance its defence and space technology infrastructure with three new projects under the Defence Testing Infrastructure Scheme (DTIS). Located in Kanpur and Lucknow, these projects will address critical shortcomings in defence testing…",https://economictimes.indiatimes.com/news/defence/three-major-defence-testing-facilities-to-be-launched-in-uttar-pradesh/articleshow/111662364.cms
"Income tax rate cut, sops for PSUs: Brokerage expectations from Modi 3.0 budget",2024-07-11 05:14:26+00:00,"Expectations (as measured by pre-budget equity market performance), wrote analysts at Morgan Stanley in a note, are important in determining what the market does immediately after the budget",https://www.business-standard.com/markets/news/income-tax-rate-cut-sops-for-psus-brokerage-expectations-from-modi-3-0-budget-124071100245_1.html
India plans ship building JV between state-run refiners and Shipping Corporation of India,2024-07-11 00:30:14+00:00,Indian-made oil tankers would allow India to lower its dependence on foreign ships and insurance firms while reducing the risk of sanctions in war-like situations from impacting operations.,https://www.livemint.com/industry/india-plans-ship-building-jv-between-state-run-refiners-and-shipping-corporation-of-india-11720607701181.html
HDFC MF stops new SIP registrations in defence fund amid valuation concerns,2024-07-10 12:07:56+00:00,The scheme's new fund offer was introduced in May 2023 and was closed earlier than schedule because of interest received from investors,https://www.business-standard.com/finance/personal-finance/hdfc-mf-stops-new-sip-registrations-in-defence-fund-amid-valuation-concerns-124071000716_1.html
"India's telecom equipment manufacturing sales cross Rs 50,000 cr under PLI scheme",2024-07-10 08:05:28+00:00,"Under the Production Linked Incentive (PLI) scheme, India's telecom equipment sales have surpassed Rs 50,000 crore, reflecting successful government efforts to boost domestic manufacturing and reduce import dependency. This achievement has created over 17,800…",https://economictimes.indiatimes.com/industry/telecom/telecom-news/indias-telecom-equipment-manufacturing-sales-cross-rs-50000-cr-under-pli-scheme/articleshow/111628869.cms
Share Market Highlights 10 July 2024: Markets sink below record levels; Sensex tanks over 400 pts on widespread profit booking,2024-07-10 01:09:29+00:00,"Sensex, Nifty updates on 10 July 2024: Equity benchmark indices Sensex and Nifty buckled under heavy selling pressure to sink below record high levels on Wednesday, tracking deep losses in metal, auto and IT stocks amid widespread profit booking after recent …",https://www.thehindubusinessline.com/markets/stock-market-highlights-10-july-2024/article68384750.ece
HDFC Mutual Fund to halt new SIPs in its Defence Fund from July 22,2024-07-09 13:47:24+00:00,"Scheme to take inflows only from existing SIPs, STPs",https://www.business-standard.com/markets/news/hdfc-mutual-fund-to-halt-new-sips-in-its-defence-fund-from-july-22-124070900902_1.html
BEL declines 1.24% as Sensex climbs,2024-07-09 06:27:19+00:00,"The stock traded at a P/E multiple of 60.53, while the price-to-book value ratio stood at 9.02.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/bel-declines-1-24-as-sensex-climbs/articleshow/111597959.cms
HDFC MF stops new SIPs in Defence Fund amid valuation concerns from July 22,2024-07-09 06:04:38+00:00,"HDFC Defence Fund discontinues fresh SIP registrations, aims for capital appreciation in high-risk defence sector stocks.",https://www.thehindubusinessline.com/markets/hdfc-mf-stops-new-sips-in-defence-fund-amid-valuation-concerns-from-july-22/article68383817.ece
"Share Market Highlights July 9, 2024: Sensex, Nifty hit new all-time closing high levels; Maruti top gainer",2024-07-09 01:13:00+00:00,"Sensex, Nifty updates on 9 July 2024 - Find here all the live updates related to Sensex, Nifty, BSE, NSE, share prices and Indian stock markets for 9 July 2024.  - India’s benchmark indices, Sensex and Nifty, trade in green on Tuesday, amidst expectations of …",https://www.thehindubusinessline.com/markets/stock-market-highlights-9-july-2024/article68381287.ece
CG Power appoints Amar Kaul as managing director & CEO,2024-07-08 15:33:51+00:00,"Amar Kaul joined CG Power on July 9, 2024 initially as Managing Director & CEO – designate and will take over as the managing director & CEO effective July 25, 2024. He was in the executive leadership position leading EMEIA (Europe, Middle East, India and Afr…",https://economictimes.indiatimes.com/tech/information-tech/cg-power-appoints-amar-kaul-as-managing-director-ceo/articleshow/111585142.cms
Harshit Kapadia is gung-ho on capital goods & defence; betting on 5 stocks,2024-07-08 09:56:42+00:00,"Harshit Kapadia of Elara Securities prefers Hindustan Aeronautics, Bharat Electronics (PSU) and Data Patterns, Astra Microwave, Zen Technologies (private). Modi's Russia visit for defense ties boosts small arms and air defense. Hindustan Aeronautics tops Kapa…",https://economictimes.indiatimes.com/markets/expert-view/harshit-kapadia-is-gung-ho-on-capital-goods-defence-betting-on-5-stocks/articleshow/111576808.cms
Dixon Technologies (India) Leads Three High Insider Ownership Growth Stocks On The Indian Exchange,2024-07-08 09:33:57+00:00,"The Indian market has shown robust performance, with a 2.4% rise in the last week and an impressive 46% increase over the past year, accompanied by a...",https://finance.yahoo.com/news/dixon-technologies-india-leads-three-093357702.html
BEL stock price up 2.74 per cent as Sensex slides,2024-07-08 04:40:22+00:00,"As of 31-Mar-2024, promoters held 51.14 per cent stake in the company, while FIIs held 17.56 per cent and domestic institutional investors had 18.06 per cent.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/bel-stock-price-up-2-74-per-cent-as-sensex-slides/articleshow/111567231.cms
Capital Goods shares rise,2024-07-08 04:31:00+00:00,"Capital Goods stocks were trading with gains, with the BSE Capital Goods index rising 500.21 points or 0.67% at 75631.64 at 09:47 IST.",https://www.business-standard.com/markets/capital-market-news/capital-goods-shares-rise-124070800153_1.html
Defence sector has delivered 200% return in last one year: Is it the right time to invest in defence stocks?,2024-07-08 01:00:00+00:00,"Defence stocks have shot up smartly in the past year. Experts are optimistic about the sector’s long-term prospects, given the substantial investment and demand anticipated in the coming years. According to the Nomura report, the sector is expected to present…",https://economictimes.indiatimes.com/wealth/invest/defence-sector-has-delivered-200-return-in-last-one-year-is-it-the-right-time-to-invest-in-defence-stocks/articleshow/111529184.cms
