Title,PublishedAt,Description,URL
Explosive growth: How defence sector became a darling of investors,2024-07-06 09:28:26+00:00,"Motilal Oswal Nifty India Defence Index Fund breaks records by collecting Rs 1,676 crores during its NFO period. India's defence sector experiences growth through indigenisation efforts and increased investments. The country aims to enhance its defence produc…",https://economictimes.indiatimes.com/news/defence/explosive-growth-how-defence-sector-became-a-darling-of-investors/articleshow/111534731.cms
Tata Steel is diversifying into the knowledge-intensive materials space: CEO & MD,2024-07-05 16:28:04+00:00,"Tata Steel diversifies into knowledge-intensive materials beyond steel to create parallel revenue streams, focusing on FRP composites and graphene.",https://www.thehindubusinessline.com/companies/tata-steel-is-diversifying-into-the-knowledge-intensive-materials-space-ceo-md/article68372046.ece
Global Aircraft Fly-by-Wire Systems Strategic Research Report 2024: Market to Reach $3.5 Billion by 2030 - Development of Advanced Simulation and Training Programs Generates Demand,2024-07-05 10:45:00+00:00,"Dublin, July 05, 2024 (GLOBE NEWSWIRE) -- The ""Aircraft Fly-by-Wire Systems - Global Strategic Business Report"" report has been added to ResearchAndMarkets.com's offering.The global market for Aircraft Fly-by-Wire Systems was valued at an estimated US$2.1 Bil…",https://www.globenewswire.com/news-release/2024/07/05/2908988/28124/en/Global-Aircraft-Fly-by-Wire-Systems-Strategic-Research-Report-2024-Market-to-Reach-3-5-Billion-by-2030-Development-of-Advanced-Simulation-and-Training-Programs-Generates-Demand.html
Capital Goods stocks edge higher,2024-07-05 04:30:00+00:00,"Capital Goods stocks were trading in green, with the BSE Capital Goods index increasing 601.46 points or 0.81% at 74586.75 at 09:47 IST.",https://www.business-standard.com/markets/capital-market-news/capital-goods-stocks-edge-higher-124070500269_1.html
"Share Market Highlights 5 July 2024: Sensex dips, Nifty50 hits record amid energy stock gains",2024-07-05 01:13:08+00:00,"Sensex, Nifty updates on 5 July 2024. -- India’s Nifty 50 achieved another record closing high on Friday, marking its longest weekly rising streak this year. Gains in energy stocks offset a decline in top private lender HDFC Bank. The NSE Nifty 50 rose 0.09% …",https://www.thehindubusinessline.com/markets/stock-market-highlights-5-july-2024/article68368105.ece
BEL shares up 0.15% as Sensex rises,2024-07-04 05:31:26+00:00,"A total of 1,778,198 shares changed hands on the counter till 11:01AM (IST)",https://economictimes.indiatimes.com/markets/stocks/stock-watch/bel-shares-up-0-15-as-sensex-rises/articleshow/111477166.cms
Leveraged stock bets soar with retail confidence,2024-07-04 02:13:44+00:00,Sebi's MTF framework mandates collateralising existing shares. Kotak Securities cautions investors on MTF investments amidst surging margin funding in anticipation of Modi 3.0 budget.,https://economictimes.indiatimes.com/markets/stocks/news/leveraged-stock-bets-soar-with-retail-confidence/articleshow/111473155.cms
Tech-first brokers hit a snag; Foxconn’s Bharat FIH in trouble,2024-07-04 01:28:15+00:00,"Happy Thursday! Online stock brokers, who used low fees to attract customers, now face an uncertain future with Sebi’s new rules. More on this in today’s ETtech Morning Dispatch.",https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/tech-first-brokers-hit-a-snag-foxconns-bharat-fih-in-trouble/articleshow/111472664.cms
"Bharat FIH plans factory reset on board, order woes",2024-07-03 19:47:38+00:00,"Foxconn group's Bharat FIH is facing challenges as it loses key directors and considers closing its Sri City facility due to reduced orders from Xiaomi, its main client. The company's dependence on Xiaomi has led to a decline, with industry watchers noting a …",https://economictimes.indiatimes.com/industry/cons-products/electronics/bharat-fih-plans-factory-reset-on-board-order-woes/articleshow/111468154.cms
AI has added speed to already dynamic entrepreneurial ecosystem in India: OpenAI executive,2024-07-03 14:41:52+00:00,"India’s AI Mission is a shining example for not just the Global South but for the entire world of an end-to-end public investment in generative AI,” says Srinivas Narayanan, Vice President, OpenAI",https://www.thehindubusinessline.com/info-tech/ai-has-added-speed-to-already-dynamic-entrepreneurial-ecosystem-in-india-openai-executive/article68363656.ece
"Reliance Jio, Airtel effect price hike from today | Check news rates, plans, and details here",2024-07-03 06:25:10+00:00,"Reliance Jio and Airtel have raised the prices of data packs, impacting prepaid and postpaid users from today, July 3. The hike affects millions of subscribers, with revised monthly, quarterly, and annual plans.",https://www.livemint.com/companies/news/reliance-jio-airtel-effect-price-hike-from-today-check-news-rates-plans-and-details-here-11719985180989.html
3 testing facility to come up in Tamil Nadu Defence Industrial Corridor,2024-07-03 03:21:46+00:00,"Defence Ministry signs an MoU to establish 3 testing facilities for UAS, Electronic Warfare and Electro Optics domains in Chennai under TN Defence Industrial Corridor",https://www.thehindubusinessline.com/economy/3-testing-facility-to-come-up-in-tamil-nadu-defence-industrial-corridor/article68360310.ece
Индийская армия получила первую партию новой версии танков Т-90,2024-07-03 02:10:37+00:00,"Вооруженные силы Индии получили первую партию основных боевых танков Т-90 Mk-III, произведенных по российской лицензии.",https://overclockers.ru/blog/amv212/show/166503/Indijskaya-armiya-poluchila-pervuju-partiju-novoj-versii-tankov-T-90
"MoD inks MoU to set up testing facilities in Unmanned Aerial System, Electronic Warfare & Electro Optics domains in Tamil Nadu Defence Industrial Corridor",2024-07-02 21:10:45+00:00,"Ministry of Defence (MoD) has signed an MoU to establish three state-of-the-art testing facilities in Chennai under the Tamil Nadu Defence Industrial Corridor - one each in Unmanned Aerial System (UAS), Electronic Warfare (EW) and Electro Optics (EO) domains",https://www.globalsecurity.org/wmd/library/news/india/2024/india-240702-india-pib01.htm
"Remote Patient Monitoring [RPM] Market Size to Accumulate Around US$ 458.29 Billion By 2031, Enables Personalized Care, Erases Racial Disparity in Postpartum Emergency Room Use",2024-07-02 16:47:00+00:00,Advancements in Technology Propel Remote Patient Monitoring Market: Latest Innovations Drive Significant Growth and Transform Healthcare Delivery Advancements in Technology Propel Remote Patient Monitoring Market: Latest Innovations Drive Significant Growth a…,https://www.globenewswire.com/news-release/2024/07/02/2907708/0/en/Remote-Patient-Monitoring-RPM-Market-Size-to-Accumulate-Around-US-458-29-Billion-By-2031-Enables-Personalized-Care-Erases-Racial-Disparity-in-Postpartum-Emergency-Room-Use.html
TN inks MoU with Ministry of Defence to establish Defence Testing Centres,2024-07-02 15:40:57+00:00,"Tamil Nadu signs MoUs with MoD to establish India's first Defence Testing Centres, boosting indigenous defence production.",https://www.thehindubusinessline.com/news/tn-inks-mou-with-ministry-of-defence-to-establish-defence-testing-centres/article68360364.ece
MoU signed to set up 3 testing facilities in Chennai under Defence Testing Infra Scheme,2024-07-02 14:47:23+00:00,"The Ministry of Defence revolutionizes defence infrastructure with state-of-the-art facilities in Chennai. With a massive investment of Rs 400 crore under the DTIS scheme, led by Defence Minister Rajnath Singh, the MoU exchange in New Delhi sets the stage for…",https://economictimes.indiatimes.com/news/defence/mou-signed-to-set-up-3-testing-facilities-in-chennai-under-defence-testing-infra-scheme/articleshow/111437506.cms
"Share Market Highlights July 2, 2024: Sensex, Nifty end flat amid financial and auto declines",2024-07-02 01:23:11+00:00,"Sensex, Nifty updates on July 2, 2024. - Indian shares closed flat on Tuesday, with the NSE Nifty 50 down 0.07% at 24,123.85 and the S&P BSE Sensex stable at 79,441.45. Early gains were erased as declines in financial and auto stocks overshadowed a rally in I…",https://www.thehindubusinessline.com/markets/stock-market-highlights-2-july-2024/article68355890.ece
Indian defence firms need to invest more in innovations and R&D to keep pace with global standards: Report,2024-07-01 10:50:58+00:00,"According to India Infoline Finance Limited (IIFL) report, these firms allocate only 1.2 per cent of their revenue to R&D, markedly lower than the global average of 3.4 per cent. This gap highlights a need for increased investment in innovation to keep pace w…",https://economictimes.indiatimes.com/news/defence/indian-defence-firms-need-to-invest-more-in-innovations-and-rd-to-keep-pace-with-global-standards-report/articleshow/111405034.cms
BEL stock price up 0.14 per cent as Sensex climbs,2024-07-01 05:46:40+00:00,"As of 31-Mar-2024, promoters held 51.14 per cent stake in the company, while FIIs held 17.56 per cent and domestic institutional investors had 18.06 per cent.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/bel-stock-price-up-0-14-per-cent-as-sensex-climbs/articleshow/111395309.cms
"BEL stock surges on Rs 3,172 crore-order win from Armoured Vehicles Nigam",2024-07-01 05:10:50+00:00,"The rise in share price came on the back of an order win worth Rs 3,172 crore from Armoured Vehicles Nigam Limited (AVNL)",https://www.business-standard.com/markets/news/bel-stock-surges-on-rs-3-172-crore-order-win-from-armoured-vehicles-nigam-124070100214_1.html
Indices nudge higher; breadth strong,2024-07-01 04:08:00+00:00,"At 09:30 IST, the barometer index, the S&P BSE Sensex was up 42.13 points or 0.04% to 79,074.86. The Nifty 50 index added 34.75 points or 0.14% to 23,045.35.",https://www.business-standard.com/markets/capital-market-news/indices-nudge-higher-breadth-strong-124070100145_1.html
"Stocks that will see action today: July 1, 2024",2024-07-01 03:43:21+00:00,"Buzzing Stocks Today, Stocks that will see action today: July 1, 2024 - NTPC, BEL, Tata Steel, Bharat Wire, JSW Energy, Titan, Zydus Life, UltraTech Cement, Dr Reddy’s Lab, Aurobindo Pharma, Cipla, Orchid Pharma, Neogen Them, Surya Roshini, Updater Services, …",https://www.thehindubusinessline.com/markets/stocks-that-will-see-action-today-1-july-2024/article68351768.ece
"Stock alert: Auto firms, BEL, Titan, Dr Reddy's Lab, Gail (India), Cantanbil Retail, Navin Fluorine Intl, Godrej Prop,",2024-07-01 03:01:00+00:00,Shares of auto companies will be in focus after June sales data announcement.,https://www.business-standard.com/markets/capital-market-news/stock-alert-auto-firms-bel-titan-dr-reddy-s-lab-gail-india-cantanbil-retail-navin-fluorine-intl-godrej-prop-124070100095_1.html
"Bharat Electronics Share: नवरत्न डिफेंस PSU को मिला 3600 करोड़ का नया ऑर्डर, एक साल में दे चुका है 156% रिटर्न",2024-06-30 10:19:47+00:00,डिफेंस सेक्टर की नवरत्न कंपनी भारत इलेक्ट्रॉनिक्स को 3172 करोड़ रुपये का नया ऑर्डर मिला है। कंपनी ने Armoured व्हीकल निगम लिमिटेड (AVNL) के साथ कॉन्ट्रैक्ट साइन किया है। बीते शुक्रवार को कंपनी के शेयरों में 0.56 फीसदी की तेजी देखी गई और यह स्टॉक BSE पर 306.20…,https://hindi.moneycontrol.com/news/markets/bharat-electronics-share-price-navratna-defence-psu-with-156-percent-returns-in-12-months-wins-orders-worth-3600-crore-1910037.html
"BEL bags order worth Rs 3,172 crore from Armoured Vehicles Nigam",2024-06-29 07:14:00+00:00,"Bharat Electronics (BEL) said that it has signed a contract valued at Rs 3,172 crore with Armoured Vehicles Nigam (AVNL) on 28 June 2024 at AVNL Headquarters in Chennai.",https://www.business-standard.com/markets/capital-market-news/bel-bags-order-worth-rs-3-172-crore-from-armoured-vehicles-nigam-124062900277_1.html
"Ecommerce space heats up; and other top tech, startup stories this week",2024-06-29 01:38:42+00:00,"Welcome to another edition of ETtech Unwrapped – our weekend newsletter. It has been a packed week for ecommerce and quick commerce news. The previous weekend began with Zepto scooping up $665 million in funding, at more than double its last valuation in 2023…",https://economictimes.indiatimes.com/tech/newsletters/ettech-unwrapped/ecommerce-space-heats-up-and-other-top-tech-startup-stories-this-week/articleshow/111353697.cms
"Bharat Electronics receives orders worth Rs 3,172 crore from AVNL",2024-06-28 15:05:53+00:00,"Navratna Defence Public Sector Undertaking, Bharat Electronics Limited (BEL) has signed a contract valued at Rs 3,172 crore with Armoured Vehicles Nigam Limited (AVNL) on Friday at AVNL Headquarters in Chennai.
According to an official statement, BEL, which i…",https://www.business-standard.com/india-news/bharat-electronics-receives-orders-worth-rs-3-172-crore-from-avnl-124062801030_1.html
"Bharat Electronics secures orders worth Rs 3,653 cr",2024-06-28 13:51:00+00:00,"Bharat Electronics (BEL), has signed a contract valued at Rs.3,172 crore with Armoured Vehicles Nigam (AVNL) on 28 June  2024, at AVNL Headquarters in Chennai. The project entails the supply and installation of an advanced, indigenously designed and developed…",https://www.business-standard.com/markets/capital-market-news/bharat-electronics-secures-orders-worth-rs-3-653-cr-124062801027_1.html
"BEL Share Price: इस खुलासे पर मार्केट बंद होने से पहले उछले शेयर, ब्रोकरेज का ये है रुझान",2024-06-28 11:35:37+00:00,डिफेंस सेक्टर की नवरत्न कंपनी भारत इलेक्ट्रॉनिक्स लिमिटेड (BEL) के शेयरों ने आज इक्विटी मार्केट का कारोबार बंद होने के थोड़े ही पहले एक बड़ा खुलासा किया और शेयर उछल गए। एक्सचेंज फाइलिंग में दी गई जानकारी के मुताबिक कंपनी ने आर्मर्ड वीईकल्स निगम लिमिटेड (AVNL)…,https://hindi.moneycontrol.com/news/markets/bel-news-bharat-electronics-share-price-jumps-after-this-revelation-1909809.html
FV Hospital leverages AI for myopia control and more briefs,2024-06-28 07:13:30+00:00,"Also, Sunway Medical Center in Malaysia has augmented its radiology workflow with AI.",https://www.healthcareitnews.com/news/asia/fv-hospital-leverages-ai-myopia-control-and-more-briefs
Shares of BEL fall as Nifty gains,2024-06-28 06:27:47+00:00,"On the technical charts, the 200-day moving average of the stock stood at Rs 194.9.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/shares-of-bel-fall-as-nifty-gains/articleshow/111333426.cms
Nifty poised for revamp as F&O tweak paves way for newly-listed firms,2024-06-28 05:26:07+00:00,The move is seen triggering a churn to the F&O segment that currently issues single-stock contracts on 182 companies,https://www.business-standard.com/markets/news/nifty-poised-for-revamp-as-f-o-tweak-paves-way-for-newly-listed-firms-124062800244_1.html
BEL shares drop 0.99% as Sensex rises,2024-06-27 07:33:58+00:00,The stock quoted a 52-week high of Rs 323.0 and a 52-week low of Rs 117.95.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/bel-shares-drop-0-99-as-sensex-rises/articleshow/111307577.cms
"Imposition of emergency had plunged the world's largest democracy into darkness, says VP Jagdeep Dhankar",2024-06-27 02:28:14+00:00,"Recalling the dark days of an emergency, Dhankhar asserted that the days of emergency will never be seen again as the constitutional democracy is very strong in Bharat and now constitutionally guaranteed at the village, State, and Union levels.",https://economictimes.indiatimes.com/news/politics-and-nation/imposition-of-emergency-had-plunged-the-worlds-largest-democracy-into-darkness-says-vp-jagdeep-dhankar/articleshow/111300257.cms
Tata Group retains India’s most valued brand title: Brand Finance Report,2024-06-27 02:00:00+00:00,"Infosys, HDFC Group, LIC Group and Reliance ranked among the top five most valuable Indian brands",https://www.thehindubusinessline.com/companies/tata-group-retains-indias-most-valued-brand-title-brand-finance-report/article68336892.ece
Transforming India into a global manufacturing powerhouse,2024-06-26 15:06:49+00:00,Appoint a ‘sherpa-like’ person of high credibility at the Centre and in each of the key manufacturing States,https://www.thehindubusinessline.com/opinion/transforming-india-into-a-global-manufacturing-powerhouse/article68336899.ece
"IESW 2024 to witness unveiling of investments worth ₹2,000 crore",2024-06-26 12:59:59+00:00,"India Energy Storage Week 2024: Unveiling investments, new products, and partnerships in the energy storage and battery industry.",https://www.thehindubusinessline.com/companies/iesw-2024-to-witness-unveiling-of-investments-worth-2000-crore/article68336160.ece
"IESW 2024 to witness unveiling of investments worth ₹2,000 crore",2024-06-26 12:59:59+00:00,"India Energy Storage Week 2024: Unveiling investments, new products, and partnerships in the energy storage and battery industry.",https://www.thehindubusinessline.com/news/iesw-2024-to-witness-unveiling-of-investments-worth-2000-crore/article68336160.ece
"ITC, Bharti Airtel’s weight may go up in Nifty rejig. $95 million passive inflows expected",2024-06-26 09:29:58+00:00,"​ITC and Bharti Airtel’s weights in Nifty is expected to go up in the quarterly rejig which gets into effect on Thursday, triggering combined inflows of $95 million according to estimates by Nuvama.",https://economictimes.indiatimes.com/markets/stocks/news/itc-bharti-airtels-weight-may-go-up-in-nifty-rejig-95-million-passive-inflows-expected/articleshow/111283585.cms
BEL stock price down 0.48 per cent as Sensex climbs,2024-06-26 06:37:35+00:00,"As of 31-Mar-2024, promoters held 51.14 per cent stake in the company, while FIIs held 17.56 per cent and domestic institutional investors had 18.06 per cent.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/bel-stock-price-down-0-48-per-cent-as-sensex-climbs/articleshow/111277878.cms
"CLSA sees opportunity in Railway modernisation projects for Amber, Kaynes, Syrma",2024-06-26 02:40:44+00:00,"CLSA report highlights growth potential for Indian electronics manufacturers due to government's railway projects, benefiting companies like Amber, Kaynes, Syrma.",https://www.thehindubusinessline.com/markets/clsa-sees-opportunity-in-railway-modernisation-projects-for-amber-kaynes-syrma/article68334714.ece
Stock Market Live Updates 26 June 2024: Stock to buy today: Apollo Tyres (₹519.30): BUY,2024-06-26 01:15:51+00:00,"Stock Market today | Share Market Live Updates - Find here all the live updates related to Sensex, Nifty, BSE, NSE, share prices and Indian stock markets for 26 June 2024 -- The upmove in Apollo Tyres is gaining momentum. The stock rose 4 per cent on Tuesday …",https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-26-june-2024/article68332091.ece
"Share Market Highlights 26 June 2024: Sensex-Nifty hit all-time high as trading session closes in green
; Reliance Industries, Bharti Airtel, Ultratech Cement, Grasim among top gainers",2024-06-26 01:15:51+00:00,"Sensex, Nifty updates on 26 June 2024: Indian benchmark indices reached fresh record highs on Wednesday, driven by gains in banking and media stocks. Sensex closed at 78,572.43, up 518.91 points and Nifty 120.60 points high closing at 23,868.80 after the clos…",https://www.thehindubusinessline.com/markets/stock-market-highlights-26-june-2024/article68332091.ece
India's maiden critical mineral auctions: Who are the participants?,2024-06-25 14:40:57+00:00,"India critical mineral auction participants: Among the five players who have won the bids, only Dalmia Bharat Refractories is affiliated with a major business group",https://www.business-standard.com/industry/news/india-s-maiden-critical-mineral-auctions-who-are-the-participants-124062500614_1.html
"Corning, Optiemus Infracom break ground on India’s first cover-glass finishing facility in Tamil Nadu",2024-06-25 13:51:38+00:00,Corning and Optiemus partner to establish India’s first high-quality cover-glass facility for mobile electronics in Tamil Nadu.,https://www.thehindubusinessline.com/companies/corning-optiemus-infracom-break-ground-on-indias-first-cover-glass-finishing-facility-in-tamil-nadu/article68331635.ece
"Global Electronic Warfare Industry Research 2023-2028: BAE System, Raytheon, Northrop Grumman, L3Harris, Lockheed Martin, Israel Aerospace and Elbit Systems Dominate the $19.4 Billion Market",2024-06-25 08:01:00+00:00,"Dublin, June 25, 2024 (GLOBE NEWSWIRE) -- The ""Global Electronic Warfare Market by Platform (Ground, Naval, Airborne, Space), Capability (Electronic Support, Electronic Attack, Electronic Protection), End-Use, Product (Electronic Warfare Equipment, Operationa…",https://www.globenewswire.com/news-release/2024/06/25/2903525/28124/en/Global-Electronic-Warfare-Industry-Research-2023-2028-BAE-System-Raytheon-Northrop-Grumman-L3Harris-Lockheed-Martin-Israel-Aerospace-and-Elbit-Systems-Dominate-the-19-4-Billion-Mar.html
Capital Goods shares gain,2024-06-25 04:30:00+00:00,"Capital Goods stocks were trading in the positive zone, with the BSE Capital Goods index rising 565.26 points or 0.78% at 73054.47 at 09:47 IST.",https://www.business-standard.com/markets/capital-market-news/capital-goods-shares-gain-124062500352_1.html
Flipkart-Swiggy deal talks; Corning’s India plan,2024-06-25 01:32:01+00:00,Investors said Flipkart considered buying a stake in Swiggy months ago amid the rise of quick commerce. This and more in today’s ETtech Morning Dispatch.,https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/flipkart-swiggy-deal-talks-cornings-india-plan/articleshow/111244499.cms
"Share Market Highlights 25 June 2024: Sensex breaches 78k level for 1st time, Nifty settles at new all-time high; Shriram Finance, Axis Bank, ICICI, HDFC among top gainers",2024-06-25 01:08:23+00:00,"Stock Market today | Share Market Live Updates - Find here all the live updates related to Sensex, Nifty, BSE, NSE, share prices and Indian stock markets for 25th June 2024 --  Indian benchmark indices, Sensex and Nifty, traded firmly on Tuesday after maintai…",https://www.thehindubusinessline.com/markets/stock-market-highlights-25-june-2024/article68327288.ece
Critics of Indian democracy silenced: Union minister Ashwini Vaishnaw,2024-06-24 16:00:10+00:00,Ashwini Vaishnaw highlighted India's trust in PM Modi's government at the India Global Forum in London.,https://economictimes.indiatimes.com/news/india/critics-of-indian-democracy-silenced-union-minister-ashwini-vaishnaw/articleshow/111237690.cms
